dataset,embedding_model,ml_model,AUC,AUPR,Accuracy,F1_macro,F1_micro,MCC,Precision,Recall
bace,ChemBERTa_77M_MLM_FL,CatBoost,0.818,0.833,0.678,0.678,0.678,0.406,0.702,0.705
bace,ChemBERTa_77M_MLM_FL,LightGBM,0.816,0.819,0.664,0.664,0.664,0.395,0.698,0.697
bace,ChemBERTa_77M_MLM_FL,XGBoost,0.812,0.838,0.684,0.684,0.684,0.416,0.706,0.71
bace,ChemBERTa_77M_MLM_WL,CatBoost,0.85,0.868,0.717,0.717,0.717,0.48,0.737,0.743
bace,ChemBERTa_77M_MLM_WL,LightGBM,0.83,0.859,0.717,0.717,0.717,0.48,0.737,0.743
bace,ChemBERTa_77M_MLM_WL,XGBoost,0.85,0.872,0.717,0.717,0.717,0.48,0.737,0.743
bace,ChemBERTa_77M_MTR_FL,CatBoost,0.847,0.896,0.717,0.716,0.717,0.466,0.729,0.737
bace,ChemBERTa_77M_MTR_FL,LightGBM,0.815,0.88,0.724,0.722,0.724,0.476,0.733,0.743
bace,ChemBERTa_77M_MTR_FL,XGBoost,0.847,0.895,0.724,0.723,0.724,0.483,0.737,0.746
bace,ChemBERTa_77M_MTR_WL,CatBoost,0.822,0.874,0.691,0.69,0.691,0.419,0.706,0.713
bace,ChemBERTa_77M_MTR_WL,LightGBM,0.79,0.861,0.684,0.684,0.684,0.409,0.702,0.707
bace,ChemBERTa_77M_MTR_WL,XGBoost,0.807,0.871,0.697,0.697,0.697,0.443,0.719,0.724
bace,MolFormer_Finetuned_FL,CatBoost,0.863,0.892,0.763,0.762,0.763,0.557,0.773,0.784
bace,MolFormer_Finetuned_FL,LightGBM,0.875,0.895,0.737,0.736,0.737,0.517,0.755,0.762
bace,MolFormer_Finetuned_FL,XGBoost,0.873,0.901,0.743,0.743,0.743,0.527,0.76,0.768
bace,Molformer_Finetuned_WL,CatBoost,0.842,0.877,0.757,0.755,0.757,0.534,0.761,0.773
bace,Molformer_Finetuned_WL,LightGBM,0.858,0.892,0.77,0.768,0.77,0.561,0.774,0.787
bace,Molformer_Finetuned_WL,XGBoost,0.854,0.892,0.757,0.755,0.757,0.534,0.761,0.773
