dataset,modality,embedding_model,ml_model,MCC,AUC,Accuracy,Precision,Recall,F1_macro,MCC_se,MCC_ci_lo,MCC_ci_hi,AUC_se,AUC_ci_lo,AUC_ci_hi,R2,MAE,Spearman,R2_se,R2_ci_lo,R2_ci_hi,Spearman_se,Spearman_ci_lo,Spearman_ci_hi
dili,hf,ChemBERTa_77M_MTR_FL,LightGBM,0.5454,0.8061,0.7708,0.7786,0.767,0.7672,0.0837,0.3814,0.7094,0.0459,0.7161,0.8961,,,,,,,,,
dili,hf,ChemBERTa_77M_MTR_FL,XGBoost,0.5541,0.8513,0.7708,0.7894,0.7652,0.7643,0.0801,0.3972,0.711,0.0393,0.7743,0.9283,,,,,,,,,
dili,hf,ChemBERTa_77M_MTR_WL,CatBoost,0.5205,0.8757,0.7604,0.7601,0.7604,0.7602,0.0866,0.3507,0.6904,0.0343,0.8084,0.9429,,,,,,,,,
dili,hf,ChemBERTa_77M_MTR_WL,LightGBM,0.5421,0.8491,0.7708,0.7708,0.7713,0.7707,0.0852,0.3751,0.7092,0.0381,0.7745,0.9238,,,,,,,,,
dili,hf,ChemBERTa_77M_MTR_WL,XGBoost,0.5421,0.8613,0.7708,0.7708,0.7713,0.7707,0.0851,0.3753,0.709,0.0362,0.7903,0.9323,,,,,,,,,
dili,hf,MolFormer_Finetuned_FL,CatBoost,0.4987,0.85,0.75,0.75,0.7487,0.749,0.0877,0.3269,0.6705,0.0383,0.775,0.925,,,,,,,,,
dili,hf,MolFormer_Finetuned_FL,LightGBM,0.6456,0.8452,0.8229,0.8243,0.8213,0.822,0.078,0.4927,0.7984,0.041,0.7649,0.9255,,,,,,,,,
dili,hf,MolFormer_Finetuned_FL,XGBoost,0.5198,0.8313,0.7604,0.7611,0.7587,0.7591,0.0869,0.3495,0.6901,0.0429,0.7473,0.9153,,,,,,,,,
dili,hf,MolFormer_Finetuned_WL,CatBoost,0.4571,0.8304,0.7292,0.7302,0.727,0.7273,0.0908,0.2792,0.635,0.0413,0.7494,0.9115,,,,,,,,,
dili,hf,MolFormer_Finetuned_WL,LightGBM,0.4987,0.8039,0.75,0.75,0.7487,0.749,0.0887,0.3249,0.6724,0.0459,0.714,0.8938,,,,,,,,,
