Configuration,ML_Model,AUC,AUPR,MCC,F1_macro,F1_micro,Avg_Score,Accuracy,Precision,Recall
Uni-Mol (LoRA),Focal Loss,0.8768,,0.5994,0.7983,0.7989,,0.7989,0.8011,0.7983
Uni-Mol (LoRA),Weighted Loss,0.8809,,0.6093,0.8042,0.8045,,0.8045,0.8051,0.8041
